listing_id,quantity,unit_price,executed_at,broker_fee,tob_fee
1,10,28.15,2023-06-15T09:32:00Z,2.00,0.34
1,15,32.84,2024-04-10T10:17:00Z,2.00,0.59
1,20,40.93,2025-11-12T11:02:00Z,2.00,0.98
2,50,10.15,2024-11-20T09:45:00Z,12.00,0.61
2,50,10.15,2024-11-20T14:22:00Z,,0.61
2,50,10.31,2025-08-05T15:22:00Z,12.00,0.62
3,20,28.32,2023-09-05T13:12:00Z,2.00,0.68
3,25,31.50,2024-07-18T10:02:00Z,2.00,0.95
4,5,68.00,2023-11-14T15:42:00Z,2.00,0.41
4,10,82.00,2025-01-22T09:17:00Z,2.00,0.98
5,2,222.5,2024-10-15T11:32:00Z,2.00,0.53
5,3,242.5,2025-10-15T11:32:00Z,2.00,0.87
6,40,11.35,2024-08-22T10:47:00Z,3.00,1.59
6,50,11.21,2025-05-14T11:22:00Z,3.00,1.96
7,5,185.00,2023-06-15T16:32:00Z,5.00,3.24
7,5,220.00,2024-11-20T18:02:00Z,9.00,3.85
5,50,10.23,2026-04-08T14:07:00Z,2.00,0.61
